what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1538021156903
error,log,,,"Core exception while retrieving the content description",1538021156918
error,log,,,"Core exception while retrieving the content description",1538021156918
error,log,,,"Core exception while retrieving the content description",1538021156918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021158494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021162581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1538021162581
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1538021168072
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1538021168135
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1538021168275
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021205060
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1538021205278
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021216245
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1538021216276
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021216370
error,log,,,"Internal Error",1538021218788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021556778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021578135
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021587276
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021587323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1538021587323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021598898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021608180
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1538021610177
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1538021610208
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1538021610333
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1538021610333
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1538021610458
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1538021610489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1538021613079
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1538021614467
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1538021616417
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1538021616526
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1538021617759
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1538021618133
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1538021619225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021636340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021636371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021641239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021656717
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1538021683113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021718400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021749129
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021750938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1538021754121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021759893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021773075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021784369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021796085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1538021799361
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1538021809641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1538021824165
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1538021829734
opened,view,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse.ResultView",1538021831965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021837427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021837443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021839595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021855315
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021868596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1538021872169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021884430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021897004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021909047
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1538021913571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021917206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1538021921402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1538021922510
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1538021926114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021932105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021932105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021933993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021941764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021945260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021945275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021947288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021962346
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1538021966107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1538021968385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538021986481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538022004935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538022053124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538022055433
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1538022055745
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1538022056852
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1538022056868
